                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.567,                 2.5191,                 1.2112,                0.42424,                0.65809,                0.39813,                0.25512,                 1.2507,                 2.5615,                 1.1744,                0.00042,                0.00042,                0.00042
                      2,                 1.3095,                0.97308,                 1.1204,                0.20227,                0.67857,                0.17281,                0.10341,                 1.3964,                 5.9415,                 1.2016,             0.00080324,             0.00080324,             0.00080324
                      3,                 1.2805,                0.84544,                 1.1159,                0.37028,                0.92409,                 0.4456,                 0.2591,                 1.3479,                 2.2022,                 1.1914,              0.0011284,              0.0011284,              0.0011284
                      4,                 1.3411,                0.81017,                 1.1383,                0.33553,                0.89286,                0.33729,                0.19695,                 1.2834,                 2.6554,                 1.1855,              0.0013955,              0.0013955,              0.0013955
                      5,                 1.4048,                0.88479,                 1.1696,                 0.4653,                0.87038,                0.54949,                0.33051,                  1.278,                 2.6511,                 1.2039,               0.001472,               0.001472,               0.001472
                      6,                 1.3509,                0.88804,                 1.1818,                0.38918,                0.71429,                0.41274,                0.24318,                  1.473,                 3.2256,                 1.2976,                0.00134,                0.00134,                0.00134
                      7,                 1.2503,                0.73307,                 1.1338,                0.48837,                0.60714,                0.49553,                0.29491,                 1.4567,                 1.8074,                 1.2785,               0.001208,               0.001208,               0.001208
                      8,                 1.2569,                0.73853,                 1.1406,                0.40563,                0.92857,                0.52715,                0.31424,                 1.4148,                 1.8779,                 1.2189,               0.001076,               0.001076,               0.001076
                      9,                 1.2537,                0.72553,                  1.147,                0.41989,                0.92857,                0.50574,                0.33577,                   1.27,                 1.8444,                 1.1625,               0.000944,               0.000944,               0.000944
                     10,                 1.2341,                0.69188,                 1.1186,                0.43179,                0.92284,                0.50366,                0.33826,                 1.1847,                 1.7354,                 1.1301,               0.000812,               0.000812,               0.000812
                     11,                 1.1675,                0.64634,                 1.1013,                0.41184,                      1,                0.46605,                0.30905,                 1.1836,                 1.6781,                 1.1318,                0.00068,                0.00068,                0.00068
                     12,                 1.1534,                0.60787,                 1.0968,                0.39967,                0.96429,                0.43943,                0.29996,                 1.1841,                 1.7068,                 1.1308,               0.000548,               0.000548,               0.000548
                     13,                 1.1435,                 0.5967,                 1.0745,                0.41142,                0.89286,                0.47295,                0.30439,                 1.2108,                 1.6574,                 1.1379,               0.000416,               0.000416,               0.000416
                     14,                 1.1379,                0.58402,                 1.0761,                0.40839,                0.98627,                0.48904,                 0.3226,                 1.1727,                 1.6101,                 1.1159,               0.000284,               0.000284,               0.000284
                     15,                 1.0715,                 0.5388,                 1.0408,                0.41554,                      1,                0.48957,                  0.343,                 1.1947,                 1.6581,                 1.1414,               0.000152,               0.000152,               0.000152
